#timestamp [ns],filename
1681712751365874176,1681712751365874176_right.png
1681712751399207680,1681712751399207680_right.png
1681712751432540928,1681712751432540928_right.png
1681712751465874432,1681712751465874432_right.png
1681712751499207680,1681712751499207680_right.png
1681712751499207680,1681712751499207680_right.png
1681712751532541184,1681712751532541184_right.png
1681712751565874688,1681712751565874688_right.png
1681712751565874688,1681712751565874688_right.png
1681712751599207936,1681712751599207936_right.png
1681712751632541440,1681712751632541440_right.png
1681712751632541440,1681712751632541440_right.png
1681712751665874688,1681712751665874688_right.png
1681712751699208192,1681712751699208192_right.png
1681712751732541696,1681712751732541696_right.png
1681712751732541696,1681712751732541696_right.png
1681712751765874944,1681712751765874944_right.png
1681712751799640576,1681712751799640576_right.png
1681712751832973824,1681712751832973824_right.png
1681712751832973824,1681712751832973824_right.png
1681712751866307328,1681712751866307328_right.png
1681712751899640832,1681712751899640832_right.png
1681712751932974080,1681712751932974080_right.png
1681712751932974080,1681712751932974080_right.png
1681712751966307584,1681712751966307584_right.png
1681712751999640832,1681712751999640832_right.png
1681712752032974336,1681712752032974336_right.png
1681712752032974336,1681712752032974336_right.png
1681712752066307840,1681712752066307840_right.png
1681712752099641088,1681712752099641088_right.png
1681712752132974592,1681712752132974592_right.png
1681712752132974592,1681712752132974592_right.png
1681712752166307840,1681712752166307840_right.png
1681712752199641344,1681712752199641344_right.png
1681712752199641344,1681712752199641344_right.png
1681712752232974848,1681712752232974848_right.png
1681712752266308096,1681712752266308096_right.png
1681712752266308096,1681712752266308096_right.png
1681712752299948800,1681712752299948800_right.png
1681712752333282048,1681712752333282048_right.png
1681712752333282048,1681712752333282048_right.png
1681712752366615552,1681712752366615552_right.png
1681712752399948800,1681712752399948800_right.png
1681712752399948800,1681712752399948800_right.png
1681712752433282304,1681712752433282304_right.png
1681712752466615808,1681712752466615808_right.png
1681712752466615808,1681712752466615808_right.png
1681712752499949056,1681712752499949056_right.png
1681712752533282560,1681712752533282560_right.png
1681712752566615808,1681712752566615808_right.png
1681712752566615808,1681712752566615808_right.png
1681712752599949312,1681712752599949312_right.png
1681712752633282816,1681712752633282816_right.png
1681712752633282816,1681712752633282816_right.png
1681712752666616064,1681712752666616064_right.png
1681712752699949568,1681712752699949568_right.png
1681712752699949568,1681712752699949568_right.png
1681712752733282816,1681712752733282816_right.png
1681712752766616320,1681712752766616320_right.png
1681712752800189440,1681712752800189440_right.png
1681712752800189440,1681712752800189440_right.png
1681712752833522688,1681712752833522688_right.png
1681712752866856192,1681712752866856192_right.png
1681712752866856192,1681712752866856192_right.png
1681712752900189440,1681712752900189440_right.png
1681712752933522944,1681712752933522944_right.png
1681712752933522944,1681712752933522944_right.png
1681712752966856448,1681712752966856448_right.png
1681712753000189696,1681712753000189696_right.png
1681712753000189696,1681712753000189696_right.png
1681712753033523200,1681712753033523200_right.png
1681712753066856448,1681712753066856448_right.png
1681712753100189952,1681712753100189952_right.png
1681712753100189952,1681712753100189952_right.png
1681712753133523456,1681712753133523456_right.png
1681712753166856704,1681712753166856704_right.png
1681712753166856704,1681712753166856704_right.png
1681712753200190208,1681712753200190208_right.png
1681712753233523456,1681712753233523456_right.png
