timestamp_ns,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
1680222940479649066,-0.0,-0.0,-0.0,0.09576171874999999,10.145762578125,-0.12946984374999998
1680222940519799947,-0.0,-0.0,-0.0,0.11031749999999999,10.141166015624998,-0.11989367187499998
1680222940562020063,-0.0,-0.0,-0.0,0.076609375,10.20819921875,-0.10074132812499999
1680222940580377101,0.0,0.0,-0.0,0.11031749999999999,10.107457890625,-0.067033203125
1680222940619188070,-0.0,-0.0,-0.0,0.04290125,10.021272343749999,-0.076609375
1680222940662718057,-0.0,-0.0,-0.0,0.090782109375,10.102861328125,-0.16739148437499998
1680222940679891109,-0.0,-0.0,0.0,0.1149140625,10.155338749999999,-0.067033203125
1680222940717339992,0.0,-0.0,-0.0,0.181947265625,10.0404246875,-0.05286046874999999
1680222940759576082,-0.0,-0.0,-0.0,0.028728515625,10.179470703124998,-0.09576171874999999
1680222940800009012,-0.0,-0.0,0.0,0.11031749999999999,10.045404296874999,-0.05286046874999999
1680222940820873022,-0.0,-0.0,-0.0,0.090782109375,10.088305546874999,-0.23940429687499998
1680222940860260009,0.0,0.0,0.0,0.076609375,10.09788171875,-0.21565539062499997
1680222940898715972,0.0,0.0,-0.0,0.10533789062499999,10.13158984375,-0.17237109374999998
1680222940917963981,-0.0,-0.0,-0.0,0.1149140625,10.184067265625,-0.14862218749999997
1680222940960917949,-0.0,-0.0,-0.0,0.11031749999999999,10.083708984374999,-0.19650304687499998
1680222940999725103,-0.0,-0.0,-0.0,0.14862218749999997,10.088305546874999,-0.124490234375
1680222941018099069,0.0,-0.0,-0.0,0.11031749999999999,10.102861328125,-0.13406640625
1680222941061081886,0.0,0.0,-0.0,0.139046015625,10.193643437499999,-0.21067578124999997
1680222941100147962,-0.0,-0.0,-0.0,0.076609375,10.16989453125,-0.19152343749999998
1680222941140491962,-0.0,-0.0,-0.0,0.10074132812499999,10.064556640625,-0.17696765625
1680222941160631895,0.0,0.0,-0.0,0.10074132812499999,10.078729375,-0.28728515624999995
1680222941201766967,-0.0,-0.0,-0.0,0.1149140625,10.13618640625,-0.004979609375
1680222941263216972,-0.0,-0.0,-0.0,0.090782109375,10.083708984374999,-0.10533789062499999
1680222941443491935,-0.0,-0.0,-0.0,0.08120593749999999,10.045404296874999,-0.09576171874999999
1680222941482162952,-0.0,-0.0,-0.0,0.139046015625,10.112437499999999,-0.13406640625
1680222941501188993,-0.0,-0.0,-0.0,0.076609375,10.126610234374999,-0.201099609375
1680222941542140960,0.0,0.0,-0.0,0.10074132812499999,10.236927734375,-0.11989367187499998
1680222941582266092,-0.0,-0.0,0.0,0.124490234375,10.102861328125,-0.2681328125
1680222941601835966,-0.0,-0.0,0.0,0.13406640625,10.09788171875,-0.1149140625
1680222941642841100,-0.0,-0.0,-0.0,0.08120593749999999,10.145762578125,-0.01915234375
1680222941681674003,-0.0,-0.0,0.0,0.1149140625,10.184067265625,-0.14862218749999997
